Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame
0.0028090477,16,13,0.0053870678,0,14,0.0039539337,0,13,0.0011591911,0,1,0.0036301613,39,10,0.0092720985,53,5,0.0080749989,25,5,0.0016758442,41,0,0.0049030781,19,AnalysisData/frame2203.jpg
0.002628088,8,8,0.0055699348,0,6,0.003811121,0,6,0.0011520386,0,0,0.0031168461,48,4,0.009114027,46,1,0.0078601837,22,1,0.001857996,34,0,0.0044629574,23,AnalysisData/frame2044.jpg
0.0025041103,14,13,0.0061519146,0,15,0.0038530827,0,16,0.0012118816,0,1,0.0034019947,29,14,0.009321928,26,12,0.007694006,12,13,0.001529932,19,1,0.0049510002,22,AnalysisData/frame779.jpg
0.0026929379,15,3,0.0057659149,0,10,0.0043120384,0,10,0.0011880398,0,4,0.0036799908,17,32,0.0098080635,45,22,0.0076580048,127,22,0.0017399788,193,0,0.0051422119,29,AnalysisData/frame1173.jpg
0.0030210018,21,17,0.0056219101,0,17,0.0041959286,0,19,0.0011920929,0,0,0.0035400391,44,19,0.0095088482,72,19,0.0078549385,46,19,0.0016760826,87,0,0.0052559376,32,AnalysisData/frame93.jpg
0.0031380653,10,11,0.0051848888,0,7,0.005354166,0,7,0.0011649132,0,0,0.0036427975,23,10,0.0092010498,13,10,0.0078001022,4,10,0.0016999245,8,0,0.0054399967,71,AnalysisData/frame1797.jpg
0.0031471252,12,2,0.0056741238,0,20,0.0051290989,0,20,0.001278162,0,2,0.003636837,12,2,0.0097649097,157,22,0.0080628395,62,24,0.0015759468,167,1,0.0057768822,34,AnalysisData/frame575.jpg
0.0025410652,6,17,0.0053300858,0,8,0.0043771267,0,8,0.0012171268,0,0,0.0031409264,28,14,0.0095288754,7,6,0.0078129768,2,6,0.0019431114,5,0,0.0052630901,42,AnalysisData/frame1672.jpg
0.0032348633,16,17,0.0054299831,0,14,0.0038700104,0,14,0.0012369156,0,0,0.0033581257,36,23,0.0094518661,47,15,0.007668972,31,16,0.0016491413,60,0,0.0051660538,31,AnalysisData/frame2413.jpg
0.0025308132,27,19,0.0051851273,0,28,0.0042741299,0,28,0.0011310577,0,0,0.003164053,76,27,0.009925127,96,15,0.008122921,57,15,0.0018208027,57,0,0.005480051,42,AnalysisData/frame1903.jpg
