Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Frame
0.002946138381958008,0,0,0.005218029022216797,0,0,0.003911018371582031,0,0,0.0010981559753417969,0,0,0.003667116165161133,0,0,0.010883808135986328,0,0,0.00770878791809082,0,0,0.001986980438232422,0,0,AnalysisData/frame1724.jpg
0.004754066467285156,0,0,0.005789995193481445,1,2,0.004580974578857422,3,0,0.0013840198516845703,0,0,0.0034780502319335938,0,0,0.009856939315795898,1,1,0.007990121841430664,0,0,0.0019371509552001953,0,0,AnalysisData/frame554.jpg
0.0030069351196289062,0,0,0.005843162536621094,2,1,0.0043048858642578125,0,0,0.001219034194946289,0,0,0.0038139820098876953,0,0,0.010133981704711914,2,0,0.008011102676391602,0,0,0.002068042755126953,0,0,AnalysisData/frame1661.jpg
0.004683971405029297,0,0,0.005259990692138672,0,0,0.004678964614868164,0,0,0.0008099079132080078,0,0,0.0036339759826660156,0,0,0.0099639892578125,0,0,0.007792949676513672,0,0,0.0019719600677490234,0,0,AnalysisData/frame756.jpg
0.002856016159057617,0,0,0.005687236785888672,0,0,0.0044040679931640625,0,0,0.001313924789428711,0,0,0.0036652088165283203,0,0,0.009474039077758789,0,0,0.008053064346313477,0,0,0.0020399093627929688,0,0,AnalysisData/frame1845.jpg
0.0028839111328125,0,0,0.005613088607788086,0,0,0.003860950469970703,0,0,0.001341104507446289,0,0,0.0039958953857421875,0,0,0.009546995162963867,0,0,0.00804901123046875,0,0,0.0014460086822509766,0,0,AnalysisData/frame1508.jpg
0.003242969512939453,0,0,0.005769968032836914,0,0,0.004528999328613281,0,0,0.0013341903686523438,0,0,0.0037741661071777344,0,0,0.009966135025024414,0,0,0.007814884185791016,0,0,0.0018630027770996094,0,0,AnalysisData/frame2014.jpg
0.0029478073120117188,0,0,0.005612850189208984,0,0,0.004458189010620117,0,0,0.0013098716735839844,0,0,0.003374814987182617,0,0,0.009794950485229492,0,0,0.007902145385742188,0,0,0.0019059181213378906,0,0,AnalysisData/frame734.jpg
0.002891063690185547,0,0,0.005666971206665039,0,0,0.004282951354980469,0,0,0.0014491081237792969,0,0,0.003314971923828125,0,0,0.01005697250366211,0,0,0.008026123046875,0,0,0.002179861068725586,0,0,AnalysisData/frame3091.jpg
0.0030350685119628906,0,0,0.0054929256439208984,0,0,0.004355907440185547,0,0,0.001508951187133789,0,0,0.003654003143310547,0,0,0.009730815887451172,0,0,0.008138895034790039,0,0,0.002216815948486328,0,0,AnalysisData/frame793.jpg
0.0028688907623291016,0,0,0.005040168762207031,2,1,0.004672050476074219,0,0,0.0013709068298339844,0,0,0.0040438175201416016,0,0,0.0099639892578125,2,0,0.00861215591430664,0,0,0.0015459060668945312,0,0,AnalysisData/frame55.jpg
0.003198862075805664,0,0,0.005465984344482422,0,0,0.0050449371337890625,0,0,0.0012979507446289062,0,0,0.0034689903259277344,0,0,0.009724140167236328,0,0,0.008481979370117188,0,0,0.0020952224731445312,0,0,AnalysisData/frame1061.jpg
0.004492044448852539,0,0,0.005517005920410156,0,0,0.004472017288208008,0,0,0.0012600421905517578,0,0,0.003779888153076172,0,0,0.009786128997802734,0,0,0.008134841918945312,0,0,0.001870870590209961,0,0,AnalysisData/frame1215.jpg
0.0034248828887939453,0,0,0.006371021270751953,0,0,0.004292011260986328,0,0,0.0013580322265625,0,0,0.003153085708618164,0,0,0.010105133056640625,0,0,0.007683992385864258,0,0,0.0018877983093261719,0,0,AnalysisData/frame1582.jpg
0.00296783447265625,0,0,0.0059511661529541016,0,0,0.004354953765869141,0,0,0.001264810562133789,0,0,0.003556966781616211,0,0,0.010102987289428711,0,0,0.008795022964477539,0,0,0.0019009113311767578,0,0,AnalysisData/frame1896.jpg
0.002440929412841797,0,0,0.005918979644775391,0,0,0.004519939422607422,0,0,0.001260995864868164,0,0,0.0033719539642333984,0,0,0.010359048843383789,0,0,0.007622957229614258,0,0,0.0012888908386230469,0,0,AnalysisData/frame713.jpg
0.0032219886779785156,0,0,0.005505800247192383,0,0,0.004148960113525391,0,0,0.0012290477752685547,0,0,0.003773927688598633,0,0,0.009592056274414062,0,0,0.008021116256713867,0,0,0.001672983169555664,0,0,AnalysisData/frame2666.jpg
0.0029048919677734375,0,0,0.005712032318115234,1,1,0.004450082778930664,2,0,0.001300811767578125,0,0,0.0034971237182617188,0,0,0.010076045989990234,1,0,0.008352994918823242,0,0,0.0018749237060546875,0,0,AnalysisData/frame513.jpg
